typeofcrop,geometry
Paddy,POINT (77.376936825 16.150843139999996)
Paddy,POINT (76.51098320500002 15.824738499999995)
Paddy,POINT (77.461574775 16.102506935)
Paddy,POINT (77.463528665 16.096850104999998)
Paddy,POINT (77.43639287999997 16.085629405)
Paddy,POINT (76.528814665 15.741342235000001)
Paddy,POINT (77.41028689499998 16.084651155000003)
Paddy,POINT (76.59864598499998 15.768657074999998)
Paddy,POINT (76.59864632500002 15.768666735000002)
Paddy,POINT (76.598866375 15.809042330000002)
Paddy,POINT (76.56102928 15.927945329999996)
Paddy,POINT (76.52045318 15.883535235000002)
Paddy,POINT (76.322541675 16.133375335000004)
Paddy,POINT (76.466880905 16.119727194999996)
Paddy,POINT (76.496723265 16.025719699999996)
Paddy,POINT (76.62520207 16.015588920000003)
Paddy,POINT (76.62519619000001 16.015492745)
Paddy,POINT (76.50337666499999 16.159172525000002)
Paddy,POINT (76.46591312000001 16.153561865000004)
Paddy,POINT (76.46779525999999 16.165002584999996)
Paddy,POINT (76.68023441499999 15.947258474999998)
Paddy,POINT (76.68024632500001 15.947256894999999)
Paddy,POINT (76.71839201500002 15.936744480000005)
Paddy,POINT (76.71848324 15.936585454999996)
Paddy,POINT (76.770921605 15.905597749999995)
Paddy,POINT (76.795595375 15.874973639999997)
Paddy,POINT (76.82010311 15.857477210000003)
Paddy,POINT (76.836444495 15.83791027)
Paddy,POINT (76.83647313000002 15.837793464999999)
Paddy,POINT (76.79910694500002 15.840600510000002)
Paddy,POINT (76.73841386 15.829398289999997)
Paddy,POINT (76.729872325 15.840121205000003)
Paddy,POINT (76.719524205 15.84662444)
Paddy,POINT (76.71950496999999 15.846623540000001)
Paddy,POINT (76.68101583500001 15.889410035000003)
Paddy,POINT (76.681016525 15.889407720000005)
Paddy,POINT (77.06056271499997 16.181175625)
Paddy,POINT (77.30927880500003 16.197363205000002)
Paddy,POINT (76.748000071 15.720584315499996)
Paddy,POINT (76.758176953 15.715266717000002)
Paddy,POINT (76.7842877275 15.70739878)
Paddy,POINT (76.7965083705 15.703673475500002)
Paddy,POINT (76.7929856975 15.660665004500004)
Paddy,POINT (76.79965953249999 15.625523945999996)
Paddy,POINT (76.80070089549999 15.598059202000002)
Paddy,POINT (76.78240789099999 15.606769401)
Paddy,POINT (76.748141179 15.772018658500002)
Paddy,POINT (76.7088514475 15.7694757065)
Paddy,POINT (76.69392186450001 15.763552200999996)
Paddy,POINT (76.6749799355 15.765439005500003)
Paddy,POINT (76.66306635649998 15.756358885500001)
Paddy,POINT (76.61243693700001 15.754412588)
Paddy,POINT (76.5913148945 15.763752164499996)
Paddy,POINT (76.58449310350001 15.765452153999998)
Paddy,POINT (76.58329460899999 15.773290559999996)
Paddy,POINT (76.5872143395 15.7710787155)
Paddy,POINT (76.578259434 15.771603985999999)
Paddy,POINT (76.58388573849997 15.781477651999998)
Paddy,POINT (76.59126053549998 15.797288628999997)
Paddy,POINT (76.591821323 15.810089758)
Paddy,POINT (76.59485513750002 15.824029258)
Paddy,POINT (76.60491196899997 15.814110263500002)
Paddy,POINT (76.6232286085 15.813070191499998)
Paddy,POINT (77.541682936 16.333288591000002)
Paddy,POINT (76.50985009550001 15.823081208500003)
Paddy,POINT (76.5098396745 15.8230958555)
Paddy,POINT (76.18823885500001 16.210836484999998)
Paddy,POINT (80.237843225 21.78528349999999)
Paddy,POINT (80.26657391499995 21.752195399999998)
Paddy,POINT (80.28060451500001 21.651917905)
Paddy,POINT (80.23465152499999 21.663360005000005)
Paddy,POINT (79.79645269500001 21.795675789999997)
Paddy,POINT (74.95686551000001 18.609761585)
Pady,POINT (79.09090574999996 18.002210166666668)
Paddy,POINT (79.09643116666669 17.996525916666673)
Paddy,POINT (79.10546616666669 17.991580749999994)
Paddy,POINT (79.16537608333336 18.051353166666676)
Paddy,POINT (78.837502105 17.925204595000007)
Paddy,POINT (78.77453063499998 18.181371915)
Paddy,POINT (78.84008624000002 17.926810684999996)
Paddy,POINT (78.842598235 17.928553679999997)
Paddy,POINT (78.84828443 17.933777550000002)
Paddy,POINT (78.77424399999998 18.14407425)
Paddy,POINT (78.849149515 17.93615049)
Paddy,POINT (78.848964275 17.941339980000002)
Paddy,POINT (78.848675735 17.943843485000002)
Paddy,POINT (78.84831410500001 17.94525173)
Paddy,POINT (78.84859187499998 17.95633805500001)
Paddy,POINT (78.85071782999998 17.962106999999996)
Paddy,POINT (78.85410289500003 17.973360810000003)
Paddy,POINT (78.84856168500002 17.980937004999998)
Paddy,POINT (78.84687999 17.98258864)
Paddy,POINT (78.84688873999998 17.982764355000004)
Paddy,POINT (78.84350284000003 17.98574756)
Paddy,POINT (78.85338676999996 18.052058780000003)
Paddy,POINT (78.85252154 18.051051745000002)
Paddy,POINT (78.84973737499999 18.047925394999996)
Paddy,POINT (78.84951923999999 18.044706375)
Paddy,POINT (78.84904306999998 18.042272555)
Paddy,POINT (78.84737108500002 18.033549239999996)
Paddy,POINT (78.83134327999998 18.013984290000003)
Paddy,POINT (78.82609449500002 18.014226004999994)
Paddy,POINT (78.82424343000004 18.01485588)
Paddy,POINT (78.81425978499999 18.015704999999997)
Paddy,POINT (78.80609404 18.013294505)
Paddy,POINT (78.84672306999998 18.131749640000002)
Paddy,POINT (78.84502851999997 18.13715378)
Paddy,POINT (78.83992290999998 18.144393785)
Paddy,POINT (78.83856799000003 18.154136819999998)
Paddy,POINT (78.833033 18.169541855000002)
Paddy,POINT (78.82745283 18.189003440000004)
Paddy,POINT (78.82530737 18.230156379999997)
Paddy,POINT (78.81412083000001 18.268525869999998)
Paddy,POINT (78.82596361999998 18.27839866499999)
Paddy,POINT (78.81628210499996 18.30825533)
Paddy,POINT (78.80974378 18.339960875)
Paddy,POINT (78.81500330500002 18.362411634999997)
Paddy,POINT (78.80728227000002 18.36509428)
Paddy,POINT (78.79799513500001 18.361043860000002)
Paddy,POINT (78.788270685 18.354559185)
Paddy,POINT (78.80215714500001 18.335651754999997)
Paddy,POINT (78.81883072500001 18.30528404)
Paddy,POINT (78.819895055 18.291563205000006)
