typeofcrop,geometry
Paddy,POINT (78.95155258333332 18.12872450000001)
Paddy,POINT (78.33231592349999 18.3416721135)
Paddy,POINT (78.030927385 18.205975590000005)
Paddy,POINT (78.95156199999998 18.12873050000001)
Paddy,POINT (78.02608222500001 18.209492160000003)
Paddy,POINT (78.94244516666664 18.133908166666675)
Paddy,POINT (78.94140741666669 18.141900083333336)
Paddy,POINT (78.03318446 18.199046835)
Paddy,POINT (78.00820537999999 18.202169344999994)
Paddy,POINT (78.94131699999998 18.15602775)
Paddy,POINT (78.94127324999997 18.156053749999998)
Paddy,POINT (77.99936014000001 18.206355844999997)
Paddy,POINT (78.95000749999997 18.16935483333333)
Paddy,POINT (78.95879941666671 18.167712166666664)
Paddy,POINT (78.96305383333332 18.164146916666674)
Paddy,POINT (78.95179591666665 18.173849416666663)
Paddy,POINT (77.99453452499999 18.217019255)
Paddy,POINT (77.98888742000001 18.226097054999993)
Paddy,POINT (78.9370395833333 18.19275425)
Paddy,POINT (77.98006619999998 18.231994319999995)
Paddy,POINT (77.970085345 18.234504885)
Paddy,POINT (77.968803115 18.242828385)
Paddy,POINT (78.95180025 18.200608666666664)
Paddy,POINT (78.95757833333333 18.203148083333335)
Paddy,POINT (77.97783192 18.24555842)
Paddy,POINT (78.95972766666668 18.20403633333334)
Paddy,POINT (77.98501892 18.249873555)
Paddy,POINT (77.994112145 18.265048795000002)
Paddy,POINT (78.00292306999998 18.268517619999994)
Paddy,POINT (78.97446133333334 18.220663416666664)
Paddy,POINT (78.00465827 18.2780732)
Paddy,POINT (78.98229999999998 18.230274000000005)
Paddy,POINT (78.00089624499999 18.28771228)
Paddy,POINT (78.98378866666667 18.232987666666663)
Paddy,POINT (78.98873100000002 18.238895250000006)
Paddy,POINT (78.99059833333332 18.241791999999993)
Paddy,POINT (78.009185515 18.303097105)
Paddy,POINT (78.97639941666665 18.245656749999995)
Paddy,POINT (78.008807815 18.327622979999997)
Paddy,POINT (78.97175516666668 18.244861166666674)
Paddy,POINT (77.80646766 18.457780514999996)
Paddy,POINT (78.006083235 18.337267885)
Paddy,POINT (78.00306622000001 18.3439757)
Paddy,POINT (78.00280886499999 18.35307691)
Paddy,POINT (78.93054275000004 18.241613333333326)
Paddy,POINT (78.93063966666668 18.241626999999998)
Paddy,POINT (78.91898716666667 18.228985166666668)
Paddy,POINT (78.91700925 18.21454141666667)
Paddy,POINT (78.91261825000004 18.193288499999994)
Paddy,POINT (78.90872625 18.18003216666666)
Paddy,POINT (78.90700666666667 18.154162916666664)
Paddy,POINT (79.14820375000002 18.109470575)
Paddy,POINT (79.124992535 18.077236554999995)
Paddy,POINT (79.12088443000002 18.033273570000002)
Paddy,POINT (78.12220974999998 18.34548726)
Paddy,POINT (79.09228156000003 18.019396125000007)
Paddy,POINT (79.06641032499999 17.996699389999996)
Paddy,POINT (78.15486410999999 18.331852105000003)
Paddy,POINT (79.04536736500003 17.990853980000004)
Paddy,POINT (78.159007785 18.32333098)
Paddy,POINT (79.031163095 17.983092390000003)
Paddy,POINT (79.03300854 17.977390600000003)
Paddy,POINT (79.03296426 17.977389825000003)
Paddy,POINT (79.05337089 17.971309105)
Paddy,POINT (79.16260991666665 18.10738858333334)
Paddy,POINT (79.14803108333334 17.993209250000007)
Paddy,POINT (79.15230433333335 18.09705016666666)
Paddy,POINT (79.025616375 17.960354100000004)
Paddy,POINT (79.14872366666664 18.097757583333337)
Paddy,POINT (79.01547968500002 17.962007300000003)
Paddy,POINT (79.13940366666667 18.09539966666666)
Paddy,POINT (78.999701295 17.957871415)
Paddy,POINT (79.14514308333335 17.972801916666665)
Paddy,POINT (78.99313763 17.96777641)
Paddy,POINT (78.98666158500001 17.972595845000004)
Paddy,POINT (79.09264591666665 18.098026083333338)
Paddy,POINT (78.95670932500002 17.95209493499999)
Paddy,POINT (79.11189316666663 17.98586758333333)
Paddy,POINT (79.10210624999999 17.983586166666665)
Paddy,POINT (79.06164816666666 18.071461166666673)
Paddy,POINT (78.21359380999999 18.336604185000002)
Paddy,POINT (79.10211591666668 17.983533000000005)
Paddy,POINT (79.09234183333334 17.96744899999999)
Paddy,POINT (79.04349399999998 18.06924658333333)
Paddy,POINT (79.08611066666668 17.959458333333327)
Paddy,POINT (79.04563108333335 18.077274166666662)
Paddy,POINT (79.04805266666665 18.083590416666674)
Paddy,POINT (79.1062315 17.98022108333334)
Paddy,POINT (78.01750363500004 18.363363720000002)
Paddy,POINT (79.05261991666666 18.092980666666673)
Paddy,POINT (79.11297166666668 17.991433750000002)
Paddy,POINT (78.98465184000004 17.930077639999997)
Paddy,POINT (78.00208384000003 18.359668275000004)
Paddy,POINT (78.99959377 17.934499115000005)
Paddy,POINT (79.00905841500004 17.936045789999998)
Paddy,POINT (79.02053312999996 17.938217865000002)
Paddy,POINT (79.07991649999998 18.106123499999995)
Paddy,POINT (79.02774828999999 17.939854090000004)
Paddy,POINT (79.03874630500003 17.942777009999997)
Paddy,POINT (79.09786749999998 18.109417999999998)
Paddy,POINT (79.10397708333333 18.10887433333334)
Paddy,POINT (79.05880135999999 17.964907735)
Paddy,POINT (79.05870394499998 17.96491144499999)
Paddy,POINT (79.13477049999999 18.113104083333333)
Paddy,POINT (79.06052901000002 17.976534190000002)
Paddy,POINT (79.09166956000001 18.010166230000003)
Paddy,POINT (79.11091103000004 18.015886899999995)
Paddy,POINT (79.11094065 18.015944075)
Paddy,POINT (79.140353645 18.03460675)
Paddy,POINT (79.14660037499998 18.031888114999994)
Paddy,POINT (78.11638649999999 18.233122650000006)
Paddy,POINT (78.115785875 18.224180004999997)
Paddy,POINT (78.11577328000001 18.224199715000005)
Paddy,POINT (78.12715289499998 18.212212235000003)
Paddy,POINT (78.12863355500001 18.205501840000004)
Paddy,POINT (78.128621265 18.205500054999998)
Paddy,POINT (78.11938685499999 18.187610420000002)
Paddy,POINT (78.13316596000001 18.183077425000004)
Paddy,POINT (78.133122145 18.183028540000002)
Paddy,POINT (78.143117595 18.18220228)
Paddy,POINT (78.13105851000002 18.17064348)
Paddy,POINT (78.13130829 18.162061444999996)
Paddy,POINT (78.13252313999999 18.154111675000003)
Paddy,POINT (78.132306185 18.146068245)
Paddy,POINT (78.13025033 18.126735904999997)
Paddy,POINT (78.10332492000002 18.346997549999998)
Paddy,POINT (78.12877310500002 18.105636890000003)
Paddy,POINT (78.1232556 18.09891179)
Paddy,POINT (78.12454599499999 18.090583334999998)
Paddy,POINT (78.12843688 18.082124515)
Paddy,POINT (78.87913133333332 18.12683508333334)
Paddy,POINT (78.12114679000001 18.079275715)
Paddy,POINT (78.125762 18.09444482)
Paddy,POINT (78.133904975 18.095071275000002)
Paddy,POINT (78.13906320999999 18.096828285000004)
Paddy,POINT (78.14676403500002 18.08946605)
Paddy,POINT (78.146746305 18.08946599)
Paddy,POINT (78.14977359499997 18.093508460000002)
Paddy,POINT (78.9432075 18.08980291666667)
Paddy,POINT (78.94142066666666 18.095541000000004)
Paddy,POINT (78.137291845 18.105596365000004)
Paddy,POINT (78.13662551 18.118419460000002)
Paddy,POINT (78.9445 18.108441416666672)
Paddy,POINT (78.14188057000001 18.124800995)
Paddy,POINT (78.94512600000002 18.118944083333336)
Paddy,POINT (78.147034375 18.128982935000003)
Paddy,POINT (78.153970585 18.127954924999997)
Paddy,POINT (78.94911541666667 18.115752666666666)
Paddy,POINT (78.15798513499999 18.12009528)
Paddy,POINT (78.95153250000001 18.112483249999997)
Paddy,POINT (78.158426305 18.113630954999998)
Paddy,POINT (78.15850134499999 18.105236240000004)
Paddy,POINT (78.96257416666664 18.10213758333334)
Paddy,POINT (78.15481093999999 18.10136045)
Paddy,POINT (78.16157928499999 18.098810725)
Paddy,POINT (78.16901391 18.099916394999997)
Paddy,POINT (78.97541708333333 18.093915083333325)
Paddy,POINT (78.16875974499997 18.09992897)
Paddy,POINT (78.980753 18.095059833333327)
Paddy,POINT (78.14835444000002 18.137012745)
Paddy,POINT (78.14836811999999 18.136997299999997)
Pady,POINT (79.0095245 18.09996416666667)
Paddy,POINT (79.0162651666667 18.100964666666663)
Paddy,POINT (79.04028416666665 18.105080833333332)
Paddy,POINT (79.06106491666665 18.107599333333326)
Paddy,POINT (79.07793108333337 18.108473166666666)
Paddy,POINT (79.13705658333332 17.99116466666666)
Paddy,POINT (79.03981316666666 18.188471999999997)
Paddy,POINT (78.04253859 18.306568815000002)
Paddy,POINT (78.04704672000001 18.290559899999998)
Paddy,POINT (79.02878824999998 18.19019966666667)
Paddy,POINT (78.05037148 18.282891985000003)
Paddy,POINT (79.12623091666669 17.97218808333334)
Paddy,POINT (78.05590732499999 18.27871113)
Paddy,POINT (79.13470924999999 17.95634166666667)
Paddy,POINT (78.060993885 18.272309935000003)
Paddy,POINT (79.01685274999997 18.213094750000007)
Paddy,POINT (78.06290502 18.262921245)
Paddy,POINT (79.01877966666666 18.218683916666663)
Paddy,POINT (78.06033579 18.255261095)
Paddy,POINT (78.05896508500001 18.246526515)
Paddy,POINT (78.06188270999999 18.238715645000006)
Paddy,POINT (79.12845016666665 17.920751666666668)
Paddy,POINT (79.01453800000002 18.23303516666666)
Paddy,POINT (79.12126333333332 17.91820175)
Paddy,POINT (79.11515949999999 17.927115083333337)
Paddy,POINT (79.01282000000002 18.242923916666673)
Paddy,POINT (79.10811550000004 17.933716666666665)
Paddy,POINT (77.96532020500001 18.234466)
Paddy,POINT (77.95429964000002 18.23439734)
Paddy,POINT (79.10117399999999 17.935503833333332)
Paddy,POINT (79.01066583333333 18.25180141666667)
Paddy,POINT (77.9449883 18.230720970000004)
Paddy,POINT (79.0044065 18.249657250000006)
Paddy,POINT (77.929467365 18.225239804999994)
Paddy,POINT (79.08786375 17.93668991666667)
Paddy,POINT (78.9994025833333 18.250279750000004)
Paddy,POINT (77.92332808 18.211688275)
Paddy,POINT (79.0878166666667 17.936677166666673)
Paddy,POINT (78.99013783333338 18.246175)
Paddy,POINT (77.92325917499998 18.21167)
Paddy,POINT (78.98212449999998 18.250126166666668)
Paddy,POINT (77.91304110499999 18.20399628)
Paddy,POINT (78.98168849999998 18.25538716666666)
Paddy,POINT (77.9127941 18.195906954999998)
Paddy,POINT (78.98102583333335 18.262484500000006)
Paddy,POINT (79.06026874999999 17.928384499999996)
Paddy,POINT (79.05064416666669 17.929683750000002)
Paddy,POINT (78.99068766666667 18.27083925)
Paddy,POINT (77.90725386 18.186073725)
Paddy,POINT (78.99653450000001 18.27458675)
Paddy,POINT (77.90234121 18.182974935)
Paddy,POINT (77.90459032 18.176136454999998)
Paddy,POINT (79.0503845833333 17.935804500000003)
Paddy,POINT (77.91180001499998 18.179933575)
Paddy,POINT (79.01047041666666 18.258467916666667)
Paddy,POINT (79.05796108333337 17.942480666666665)
Paddy,POINT (77.91178327 18.17990914)
Paddy,POINT (79.06494816666671 17.94619175)
Paddy,POINT (77.90020002500002 18.191414899999998)
Paddy,POINT (79.06480091666671 17.946196000000008)
Paddy,POINT (77.89361015 18.19374224)
Paddy,POINT (79.07859224999997 17.942944583333336)
Paddy,POINT (79.08524416666667 17.945192083333325)
Paddy,POINT (79.09253716666663 17.95386283333334)
Paddy,POINT (77.893594855 18.193695749999996)
Paddy,POINT (79.08276300000004 18.22535641666666)
Paddy,POINT (79.09254116666665 17.95386183333334)
Paddy,POINT (79.10058325000001 17.959639083333325)
Paddy,POINT (79.08831075000002 18.22132333333333)
Paddy,POINT (79.11785066666668 17.962683333333338)
Paddy,POINT (79.08828758333331 18.218165666666664)
Paddy,POINT (79.08867999999998 18.214527499999996)
Paddy,POINT (77.96313006999999 18.250557725)
Paddy,POINT (79.11485674999997 17.971654250000004)
Paddy,POINT (79.08679458333333 18.21072416666666)
Paddy,POINT (77.96308349 18.250663184999997)
Paddy,POINT (79.11486533333334 17.97165733333333)
Paddy,POINT (79.08728316666668 18.195780250000006)
Paddy,POINT (77.95463919000001 18.25377038)
Paddy,POINT (77.94766523 18.261927195)
Paddy,POINT (77.94079845999998 18.271862129999995)
Paddy,POINT (79.09156033333335 18.185650416666668)
Paddy,POINT (77.93315365 18.27745943)
Paddy,POINT (77.91420633999999 18.3108693)
Paddy,POINT (77.914211995 18.31084811)
Paddy,POINT (77.91647000999998 18.329677415)
Paddy,POINT (79.100692 18.16680183333334)
Paddy,POINT (77.91188776499999 18.338474905)
Paddy,POINT (79.10554508333334 18.16379749999999)
Paddy,POINT (77.91185325 18.338445150000005)
Paddy,POINT (77.90466692 18.344579884999998)
Paddy,POINT (77.89965506000001 18.362874534999996)
Paddy,POINT (77.89962288 18.362900104999998)
Paddy,POINT (79.12957091666664 18.147741249999996)
Paddy,POINT (77.90991769 18.372908985)
Paddy,POINT (79.10365251500004 18.073549004999997)
Paddy,POINT (79.091487445 18.087101885)
Paddy,POINT (77.87432203499999 18.370647339999998)
Paddy,POINT (79.09110247000001 18.101054505)
Paddy,POINT (77.87422424500002 18.3706017)
Paddy,POINT (77.87373453000002 18.36165999)
Paddy,POINT (79.07846433000002 18.099881949999997)
Paddy,POINT (77.87595261999999 18.352837339999997)
Paddy,POINT (79.07845945999999 18.099889599999994)
Paddy,POINT (77.86560895999997 18.34588153)
Paddy,POINT (79.06703154999998 18.09624472500001)
Paddy,POINT (79.05486139499999 18.097225015)
Paddy,POINT (77.858783275 18.343041324999994)
Paddy,POINT (79.05090095999996 18.084780630000004)
Paddy,POINT (77.86145662999999 18.336134395)
Paddy,POINT (77.849616155 18.352595940000004)
Paddy,POINT (77.84642665000004 18.343690095000003)
Paddy,POINT (79.04289958333334 17.922214000000004)
Paddy,POINT (77.84640768 18.343678465)
Paddy,POINT (79.051930295 18.068454475)
Paddy,POINT (79.04242258333338 17.916331333333336)
Paddy,POINT (77.84733807999999 18.326670370000002)
Paddy,POINT (79.05193091499999 18.068440030000005)
Paddy,POINT (79.04152875000003 17.905176333333326)
Paddy,POINT (79.06117796499998 18.073688660000006)
Paddy,POINT (77.84841465 18.316977419999994)
Paddy,POINT (79.0391420833333 17.897554750000005)
Paddy,POINT (79.03605891666663 17.889618083333325)
Paddy,POINT (79.03328574999998 17.88276974999999)
Paddy,POINT (77.85427978499999 18.305400960000004)
Paddy,POINT (77.86334203999999 18.303807924999997)
Paddy,POINT (79.02401116666665 17.881770916666667)
Paddy,POINT (77.870745655 18.301100909999995)
Paddy,POINT (78.62339558333329 18.084094166666663)
Paddy,POINT (79.02227008333332 17.875422750000006)
Paddy,POINT (79.08876015 18.048243275000004)
Paddy,POINT (79.01412883333333 17.880188166666663)
Paddy,POINT (79.08502991 18.038419899999997)
Paddy,POINT (77.84733117500001 18.296763400000003)
Paddy,POINT (79.068348615 18.047435280000002)
Paddy,POINT (79.00592399999998 17.879493500000002)
Paddy,POINT (77.84516224000001 18.287677249999998)
Paddy,POINT (77.84120884000001 18.278968910000003)
Paddy,POINT (79.06402754999999 18.066731444999995)
Paddy,POINT (78.99811216666666 17.888169416666663)
Paddy,POINT (78.99818183333332 17.88813841666667)
Paddy,POINT (78.99178375 17.875597416666658)
Paddy,POINT (77.84520190999999 18.27908917)
Paddy,POINT (78.98313858333337 17.87360075)
Paddy,POINT (77.85374500499998 18.283318965)
Paddy,POINT (79.05617352500002 18.056226280000004)
Paddy,POINT (78.97338650000003 17.874818500000003)
Paddy,POINT (77.835587065 18.275145614999996)
Paddy,POINT (79.04033808499996 18.058685784999994)
Paddy,POINT (77.82721279 18.277123285000002)
Paddy,POINT (78.96422933333334 17.883316666666666)
Paddy,POINT (78.9633403333333 17.89306491666666)
Paddy,POINT (78.97041841666666 17.89778416666667)
Paddy,POINT (77.84898443499999 18.262631135)
Paddy,POINT (78.97558766666664 17.902284666666674)
Paddy,POINT (79.0447269 18.041982620000002)
Paddy,POINT (77.84895034499998 18.262628964999998)
Paddy,POINT (78.97545391666665 17.91304258333334)
Paddy,POINT (79.04920817499996 18.02674491999999)
Paddy,POINT (77.85812380000002 18.266014360000003)
Paddy,POINT (79.05462749499999 18.018652140000004)
Paddy,POINT (77.873285145 18.275102015)
Paddy,POINT (79.063373685 18.007949495)
Paddy,POINT (77.85867590000001 18.278894745000006)
Paddy,POINT (77.85343824000002 18.254748380000002)
Paddy,POINT (77.84874469999998 18.247296700000003)
Paddy,POINT (77.84543588 18.239707664999994)
Paddy,POINT (77.81935621 18.217159475)
Paddy,POINT (77.81179425 18.216991784999998)
Paddy,POINT (77.80458387 18.211575724999996)
Paddy,POINT (77.80459806500001 18.21158644)
Paddy,POINT (79.0945983333333 17.9884225)
Paddy,POINT (78.114626555 18.290402725)
Paddy,POINT (78.7923048333333 18.057811416666674)
Paddy,POINT (78.11251666500002 18.298834754999998)
Paddy,POINT (78.110626295 18.30678118)
Paddy,POINT (78.10486535000003 18.320443245)
Paddy,POINT (78.75301091666668 18.04853208333334)
Paddy,POINT (78.71826225000002 18.10360633333334)
Paddy,POINT (78.74480324999999 18.118246166666665)
Paddy,POINT (78.7448618333333 18.118261666666676)
Paddy,POINT (78.74397875000003 18.131026)
Paddy,POINT (78.74336391666668 18.136084249999993)
Paddy,POINT (78.7714245833333 18.14354183333334)
Paddy,POINT (78.78033941666664 18.14304883333334)
Paddy,POINT (78.79412275000001 18.137922666666668)
Paddy,POINT (79.023030395 18.08597991)
Paddy,POINT (79.01045335999996 18.08026999999999)
Paddy,POINT (79.00936946499999 18.07615798999999)
Paddy,POINT (79.04654833333333 17.943840916666666)
Paddy,POINT (79.01398912499997 18.07215157500001)
Paddy,POINT (79.02002803999997 18.07186678499999)
Paddy,POINT (79.02892068500003 18.066720844999995)
Paddy,POINT (79.03975774999996 17.942762666666674)
Paddy,POINT (79.02612100999998 18.048203194999996)
Paddy,POINT (79.02972341666668 17.94188041666667)
Paddy,POINT (79.02977533333335 17.941800333333333)
Paddy,POINT (79.01237074999999 17.940787333333333)
Paddy,POINT (79.02228529500003 18.034992000000003)
Paddy,POINT (79.00684225 17.936333249999997)
Paddy,POINT (79.00739645000003 18.03276850000001)
Paddy,POINT (78.99783816666665 17.93213016666666)
Paddy,POINT (79.00837701499998 18.027155965)
Paddy,POINT (79.005277415 18.009998414999995)
Paddy,POINT (78.98782191666665 17.92936158333334)
Paddy,POINT (79.00155691 18.00406174)
Paddy,POINT (78.97978933333336 17.928945083333335)
Paddy,POINT (79.00155446000002 18.004058939999997)
Paddy,POINT (78.9740855 17.924710916666665)
Paddy,POINT (78.97162749000002 18.006579709999997)
Paddy,POINT (78.95972566666666 17.87193366666667)
Paddy,POINT (78.95699691666665 17.863357750000006)
Paddy,POINT (78.964841715 18.016640029999998)
Paddy,POINT (78.9557940833333 17.857818083333335)
Paddy,POINT (78.96617876500001 18.026225474999997)
Paddy,POINT (78.9516340833333 17.85196433333334)
Paddy,POINT (78.95163675 17.851963333333337)
Paddy,POINT (78.97066726 18.03330214)
Paddy,POINT (78.97561471500003 18.040808195000004)
Paddy,POINT (78.92041616666668 17.842911250000007)
Paddy,POINT (78.92044891666666 17.842893333333336)
Paddy,POINT (78.91354608333333 17.844371166666672)
Paddy,POINT (78.97915719000002 18.062618504999996)
Paddy,POINT (78.90006508333336 17.857514749999993)
Paddy,POINT (78.97963698499996 18.072344965000006)
Paddy,POINT (78.89508933333333 17.860317000000002)
Paddy,POINT (78.97499610000003 18.077828595000003)
Paddy,POINT (78.88027175000003 17.866433749999995)
Paddy,POINT (78.87429124999998 17.867343416666667)
Paddy,POINT (78.86918066666667 17.870581500000007)
Paddy,POINT (78.8691681666667 17.870569833333327)
Paddy,POINT (78.87179316666665 17.875318416666662)
Paddy,POINT (78.962293265 18.073705030000003)
Paddy,POINT (78.87597174999995 17.879603583333328)
Paddy,POINT (78.94728122999999 18.074396734999997)
Paddy,POINT (78.35416767500001 18.223775305)
Paddy,POINT (78.94728080500003 18.074401679999994)
Paddy,POINT (78.87748266666668 17.89831833333334)
Paddy,POINT (78.93804882499998 18.066432985000006)
Paddy,POINT (78.87293966666667 17.904819666666665)
Paddy,POINT (78.92062451000001 18.055344729999995)
Paddy,POINT (78.87636416666668 17.912206416666674)
Paddy,POINT (78.34949039000001 18.219422095000006)
Paddy,POINT (78.88645283333331 17.918999916666664)
Paddy,POINT (78.91455864000002 18.038005870000006)
Paddy,POINT (78.89086775000004 17.927240749999996)
Paddy,POINT (78.91272953499998 18.017845880000003)
Paddy,POINT (78.89091791666671 17.927281416666663)
Paddy,POINT (78.91272509999996 18.017835685)
Paddy,POINT (78.94208478499998 18.015874464999996)
Paddy,POINT (78.91418241666665 17.93324991666666)
Paddy,POINT (78.92049700000004 17.934094083333335)
Paddy,POINT (78.96014650999999 18.009836600000007)
Paddy,POINT (78.93303475000002 17.9358915)
Paddy,POINT (79.00469673 17.999407745)
Paddy,POINT (78.93303158333336 17.93591241666667)
Paddy,POINT (78.93957025 17.94308408333334)
Paddy,POINT (79.027916285 17.99881913)
Paddy,POINT (79.02791278000001 17.998820880000004)
Paddy,POINT (79.04337974500001 18.01911701)
Paddy,POINT (79.073926615 18.014081984999997)
Paddy,POINT (78.29944177999997 18.372186065)
Paddy,POINT (78.29919899999999 18.432899585)
Paddy,POINT (78.27948633 18.41766993)
Paddy,POINT (78.278132015 18.414970805)
Paddy,POINT (78.26024234500001 18.41446532500001)
Paddy,POINT (78.95453508333335 17.917705333333338)
Paddy,POINT (78.94522449999998 17.912701749999997)
Paddy,POINT (78.93394208333336 17.904833749999998)
Paddy,POINT (78.93392541666665 17.90484858333334)
Paddy,POINT (78.92523499999999 17.901800166666664)
Paddy,POINT (78.91775375000003 17.896837500000004)
Paddy,POINT (78.91189374999999 17.890126666666667)
Paddy,POINT (78.90622433333331 17.88476233333334)
Paddy,POINT (78.89521816666667 17.872445833333337)
Paddy,POINT (78.89523000000003 17.872431750000004)
Paddy,POINT (78.88049325 17.857056166666663)
Paddy,POINT (78.87462324999996 17.854945666666662)
Paddy,POINT (78.85143024999995 17.843448416666668)
Paddy,POINT (78.8453039166667 17.823430249999994)
Paddy,POINT (78.84538808333333 17.823459833333338)
Paddy,POINT (78.82597666666665 17.815043416666665)
Paddy,POINT (78.81605274999995 17.795956749999995)
Paddy,POINT (78.8161545 17.795913999999993)
Paddy,POINT (78.7782278333333 17.79503516666666)
Paddy,POINT (78.77426199999998 17.808697499999994)
Paddy,POINT (78.76891900000003 17.816114166666665)
Paddy,POINT (78.76890916666663 17.816134249999994)
Paddy,POINT (78.74418241666667 17.80722975000001)
Paddy,POINT (78.74006900000002 17.81113683333333)
Paddy,POINT (78.73600616666666 17.817954666666658)
Paddy,POINT (78.7360459166667 17.817973166666665)
Paddy,POINT (78.71779374999998 17.825711833333337)
Paddy,POINT (78.73067608333332 17.857743583333338)
Paddy,POINT (78.748425 17.863501416666665)
Paddy,POINT (78.74842724999996 17.863495250000003)
Paddy,POINT (78.76659316666667 17.870223333333335)
Paddy,POINT (78.77307666666664 17.87639341666667)
Paddy,POINT (78.78528633333336 17.872747916666675)
Paddy,POINT (78.79582258333336 17.871184833333338)
Paddy,POINT (78.81124441666668 17.868772999999997)
Paddy,POINT (78.81123308333329 17.86880641666667)
Paddy,POINT (78.82744683333333 17.864088166666665)
Paddy,POINT (79.09681916666669 17.99787791666667)
Paddy,POINT (79.09129541666663 18.000953333333328)
Paddy,POINT (79.09127874999999 18.00095866666667)
Paddy,POINT (79.07875599999997 18.007184249999995)
Paddy,POINT (79.07872941666669 18.00001516666667)
Paddy,POINT (79.0787375833333 18.000013083333336)
Paddy,POINT (79.07906308333335 17.994826416666662)
Paddy,POINT (79.08632233333333 17.97849816666667)
Paddy,POINT (79.08391516666669 17.97412825)
BORO PADDY,POINT (88.46304626 22.50840219)
Boro Paddy,POINT (88.46324760000002 22.509142379999993)
Boro Paddy,POINT (88.47484096999997 22.515434050000003)
Boro paddy,POINT (88.473777565 22.51573039)
Boro Paddy,POINT (88.47348487500001 22.51500309)
Boro paddy,POINT (88.53838437499999 22.509770285)
Boro Paddy,POINT (88.53901464499998 22.510308000000002)
Boro Paddy,POINT (88.53904767 22.510653115)
Boro Paddy,POINT (88.53855331000003 22.51084057)
Boro paddy,POINT (88.60670554 22.483852749999997)
Boro paddy,POINT (88.60688861499999 22.484015754999994)
Boro paddy,POINT (88.60412331 22.475168065)
Boro paddy,POINT (88.604176755 22.475604715000003)
Boro paddy,POINT (88.60489055000002 22.47414304)
Boro paddy,POINT (88.60599167500001 22.47405475)
Boro paddy,POINT (88.60655059000001 22.474225629999996)
Boro paddy,POINT (88.62512032499998 22.439015129999994)
Boro paddy,POINT (88.62580516000003 22.439227094999996)
Boro paddy,POINT (88.63050013000002 22.432245645000002)
Boro paddy,POINT (88.63134094000002 22.431716480000002)
Boro paddy,POINT (88.64900202499999 22.43086165)
Boro paddy,POINT (88.64855877 22.431490735)
Boro Paddy,POINT (88.11505674000001 22.565809155000004)
Boro Paddy,POINT (88.115238805 22.566001330000002)
Boro Paddy,POINT (88.11519783 22.566414984999998)
Boro paddy,POINT (88.091269325 22.561171505)
Boro paddy,POINT (88.091042125 22.560521464999997)
Boro Paddy,POINT (88.091868095 22.560586434999998)
Boro Paddy,POINT (88.09165999500001 22.56023151)
Boro Paddy,POINT (88.065357575 22.564340204999997)
Boro paddy,POINT (88.06470209499999 22.56455278)
Boro paddy,POINT (88.05356104500001 22.565588215)
Boro Paddy,POINT (88.053462365 22.565644215)
Boro Paddy,POINT (88.05350736 22.565740740000003)
Boro Paddy,POINT (88.05335948999999 22.56681196)
Boro Paddy,POINT (88.05345419499997 22.567158505)
Boro Paddy,POINT (88.05345800500001 22.56732204)
Boro Paddy,POINT (88.05301856 22.566899905)
Boro Paddy,POINT (88.05293684000003 22.567054195000004)
Boro Paddy,POINT (88.05313935499998 22.566271115)
Boro Paddy,POINT (87.90552721999998 23.237866380000007)
Boro Paddy,POINT (87.94865208499999 23.244602765000003)
Boro Paddy,POINT (87.95786564500001 22.552037310000006)
Boro paddy,POINT (87.95768392 22.551440825)
Boro Paddy,POINT (87.98318999 23.265211835)
Boro Paddy,POINT (87.95749821 22.55094854)
Boro Paddy,POINT (87.95834653499998 22.551476545)
Boro Paddy,POINT (88.00106998 23.294563644999993)
Boro Paddy,POINT (88.03748763500002 23.308504705)
Boro Paddy,POINT (88.03950969999997 23.349163440000005)
Boro Paddy,POINT (88.03957328999999 23.348850775)
Boro paddy,POINT (87.83591042999998 22.319550874999997)
Boro paddy,POINT (87.79819423000001 22.337666544999998)
Boro paddy,POINT (87.698847225 22.398353640000003)
Boro Paddy,POINT (87.67029742500003 22.405364834999993)
Boro paddy,POINT (87.60321990499999 22.393775134999995)
Boro Paddy,POINT (87.53876125000002 22.39636934)
Boro Paddy,POINT (87.48400187000001 22.39704714)
Boro paddy,POINT (87.39663508500001 22.379551150000005)
Boro Paddy,POINT (87.39354292499999 22.360038159999995)
Boro Paddy,POINT (87.40671277499999 22.337898)
Boro Paddy,POINT (87.43104378 22.313425020000004)
Boro paddy,POINT (87.43038919500005 22.313732179999995)
Boro paddy,POINT (87.53013452500001 22.280191869999996)
Boro Paddy,POINT (87.55658434 22.33085044)
Boro paddy,POINT (87.55651203 22.330817129999993)
Boro Paddy,POINT (87.29500298999997 22.35700761)
Boro paddy,POINT (87.03601848000002 22.349456975)
Rabi Rice,POINT (89.1207334375 26.544278310999992)
Rabi Rice,POINT (89.123110131 26.541483010499995)
Rabi Rice,POINT (89.13550554150001 26.540738807000004)
Rabi Rice,POINT (89.125129683 26.530550966)
Rabi Rice,POINT (89.14743277349999 26.536483482500007)
Boro Paddy,POINT (86.94712635 22.437878789999996)
Boro Paddy,POINT (86.94717964999998 22.438623049999997)
Rabi Rice,POINT (89.13916944550002 26.557831260000007)
Rabi Rice,POINT (89.145526934 26.558097287)
Boro Paddy,POINT (88.59252231500001 22.698569720000002)
Boro paddy,POINT (88.592937245 22.698449935)
