geometry,typeofcrop
POINT (76.458584525 28.259575720000004),Mustard
POINT (76.40766066 28.424961309999997),Mustard
POINT (76.41417917499999 28.422434259999996),Mustard
POINT (76.414237525 28.422380965000002),Mustard
POINT (76.41013715 28.45495023),Mustard
POINT (76.40940603000001 28.454997965),Mustard
POINT (76.40935223 28.454998510000003),Mustard
POINT (76.56591462500002 28.32247958),Mustard
POINT (76.41483478 28.437712570000002),Mustard
POINT (76.55479997999997 28.31671277),Mustard
POINT (76.404699685 28.44711785),Mustard
POINT (76.576140075 28.315097379999997),Mustard
POINT (76.566624115 28.311513715),Mustard
POINT (76.50738849999999 28.291468879999996),Mustard
POINT (76.432849255 28.429849110000003),Mustard
POINT (76.428308685 28.421190575000004),Mustard
POINT (76.42971628000001 28.422984714999995),Mustard
POINT (76.504685535 28.279068595000002),Mustard
POINT (76.42632361000003 28.434904325),Mustard
POINT (76.42508279 28.435779844999995),Mustard
POINT (76.42266083499997 28.430532295000006),Mustard
POINT (76.51827677 28.273474470000004),Mustard
POINT (76.51721555500002 28.287055185000003),Mustard
POINT (76.39166499000001 28.26476139),Mustard
POINT (76.40063253499999 28.258170774999996),Mustard
POINT (76.34961952 28.252257405),Mustard
POINT (76.35221728500002 28.253961980000003),Mustard
POINT (76.36553106 28.252648245000007),Mustard
POINT (76.365540255 28.252656010000003),Mustard
POINT (76.39382145499998 28.202832045),Mustard
POINT (76.40620100999999 28.198999130000004),Mustard
POINT (76.404113975 28.206944975000006),Mustard
POINT (76.388599145 28.216483650000004),Mustard
POINT (76.44870767 28.150580404999992),Mustard
POINT (76.448523505 28.150547569999997),Mustard
POINT (76.44860561499999 28.150497800000004),Mustard
POINT (76.44998548 28.160891720000002),Mustard
POINT (76.44997796 28.160861784999998),Mustard
POINT (76.49707384999999 28.204732575),Mustard
POINT (76.50133516999999 28.205891985),Mustard
POINT (76.50135718499999 28.20590544),Mustard
POINT (76.4891311 28.18903642),Mustard
POINT (76.48909300500002 28.189042705000002),Mustard
POINT (76.42129344499999 28.218485339999994),Mustard
POINT (76.421407665 28.22164141),Mustard
POINT (76.42134221999997 28.223707530000002),Mustard
POINT (76.37153576 28.3513257),Mustard
POINT (76.3715547 28.351332825000004),Mustard
POINT (76.37070898 28.34452362999999),Mustard
POINT (76.36727215500001 28.338862819999992),Mustard
POINT (76.463827765 28.265581110000007),Mustard
POINT (76.47002128000001 28.27339684499999),Mustard
POINT (76.470030975 28.27352726),Mustard
POINT (76.47004191 28.273529805),Mustard
POINT (76.44607969999998 28.27039676),Mustard
POINT (76.40747869500001 28.332196250000003),Mustard
POINT (76.46467540500001 28.329363670000003),Mustard
POINT (76.40870031000003 28.32822626),Mustard
POINT (76.40870142000001 28.328215115),Mustard
POINT (76.48831387000004 28.322157969999996),Mustard
POINT (76.46373590500002 28.338518930000003),Mustard
POINT (76.47528172999999 28.333999865),Mustard
POINT (76.605465225 28.407560639999996),Mustard
POINT (76.60740217 28.400963235000006),Mustard
POINT (76.61541271499998 28.40434242),Mustard
POINT (76.62250773 28.40461167),Mustard
POINT (76.51591204999998 28.237508089999995),Mustard
POINT (76.51644086000002 28.237341654999994),Mustard
POINT (76.51645390500002 28.2376382),Mustard
POINT (76.51701577999998 28.237628230000002),Mustard
POINT (76.51782838999998 28.236689405),Mustard
POINT (76.51779523500001 28.235832205),Mustard
POINT (76.51746417 28.23584574000001),Mustard
POINT (76.51746984999998 28.235313964999996),Mustard
POINT (76.51714784999999 28.235342075),Mustard
POINT (76.51814661999998 28.235841425000007),Mustard
POINT (76.51849237 28.235834525),Mustard
POINT (76.51850096000001 28.23692919),Mustard
POINT (76.51916050000001 28.23800741499999),Mustard
POINT (76.518915595 28.238440080000004),Mustard
POINT (76.51718488000002 28.238154515),Mustard
POINT (76.51723521000002 28.238495480000005),Mustard
POINT (76.45604043499998 28.26241339),Mustard
POINT (76.45504538000002 28.26304601999999),Mustard
POINT (76.45520873999997 28.263701089999994),Mustard
POINT (76.456367895 28.262677525000004),Mustard
POINT (76.44410172500001 28.270085805),Mustard
POINT (76.44416094500002 28.270590254999995),Mustard
POINT (76.44371132999999 28.270701905),Mustard
POINT (76.44371685000002 28.270332544999995),Mustard
POINT (76.38997823999998 28.264817359999988),Mustard
POINT (76.39036476999999 28.26479675),Mustard
POINT (76.660558635 28.581374959999994),Mustard
POINT (76.66449301 28.51254332),Mustard
POINT (76.37737628999997 28.258647885000006),Mustard
POINT (76.67835518999999 28.58621046500001),Mustard
POINT (76.36877953499999 28.264370485),Mustard
POINT (76.36849206999999 28.26436395),Mustard
POINT (76.67835784499997 28.586194009999996),Mustard
POINT (76.368481485 28.26387337),Mustard
POINT (76.36879977499999 28.263889025000005),Mustard
POINT (76.37074554999998 28.267505415),Mustard
POINT (76.36988753000001 28.26770534),Mustard
POINT (76.68988072000002 28.1013418),Mustard
POINT (76.37201089000001 28.269214655000013),Mustard
POINT (76.37264766999998 28.269148180000002),Mustard
POINT (76.40449873499999 28.30612185),Mustard
POINT (76.40438376499998 28.307126614999998),Mustard
POINT (76.40461073999998 28.307151984999997),Mustard
POINT (76.40463207500001 28.307568185),Mustard
POINT (76.40478053999999 28.307537314999998),Mustard
POINT (76.40480140499999 28.30715491000001),Mustard
POINT (76.404869365 28.30714398),Mustard
POINT (76.40501603500002 28.306488959999996),Mustard
POINT (76.69523462 28.112088750000005),Mustard
POINT (76.40657402500003 28.31407709),Mustard
POINT (76.40665311500001 28.313165685),Mustard
POINT (76.40695699 28.31313995),Mustard
POINT (76.40695743999997 28.313811199999986),Mustard
POINT (76.680212765 28.105892719999996),Mustard
POINT (76.37486088499999 28.34735549),Mustard
POINT (76.67106901000002 28.108283745),Mustard
POINT (76.374889535 28.345982725),Mustard
POINT (76.37487390999999 28.347341305000004),Mustard
POINT (76.6932849865 28.471597110499992),Musterd
POINT (76.375514505 28.346226509999997),Mustard
POINT (76.69644903850002 28.465014804499997),Musturd
POINT (76.37547023500002 28.346723000000004),Mustard
POINT (76.68437798549999 28.477448837000004),Musterd
POINT (76.36806361000001 28.359746689999998),Mustard
POINT (76.36810518000001 28.360266335000006),Mustard
POINT (76.368089135 28.360839404999997),Mustard
POINT (76.36740805000001 28.36081739),Mustard
POINT (76.697319763 28.4836610575),Musterd
POINT (76.36741998999999 28.36072230000001),Mustard
POINT (76.36679657000002 28.360705255),Mustard
POINT (76.36676490499998 28.360340310000005),Mustard
POINT (76.33343486500004 28.385010000000005),Mustard
POINT (76.32871083 28.387565045000002),Mustard
POINT (76.32801019 28.387647259999994),Mustard
POINT (76.328152305 28.388115534999997),Mustard
POINT (76.32871624500004 28.388029900000003),Mustard
POINT (76.33343362500003 28.386526895000003),Mustard
POINT (76.33281057000002 28.386518575000004),Mustard
POINT (76.33337046499999 28.386194915000004),Mustard
POINT (76.33281745000002 28.386128325000005),Mustard
POINT (76.46559305349999 28.1873631225),Musturd
POINT (76.4645873525 28.196040141999998),Musturd
POINT (76.45860627349998 28.195759320999997),Musterd
POINT (76.40123695499997 28.444787900000012),Mustard
POINT (76.46483688 28.33002109000001),Mustard
POINT (76.418534544 28.219940378499995),Musterd
POINT (76.464816945 28.33043086),Mustard
POINT (76.46405884999999 28.330407964999996),Mustard
POINT (76.46452681000002 28.330205655000004),Mustard
POINT (76.36970287999998 28.420116435),Mustard
POINT (76.46211957 28.331115475),Mustard
POINT (76.44458154600002 28.224854203999996),Mustard
POINT (76.462081535 28.330520444999998),Mustard
POINT (76.33535244500004 28.408227414999992),Mustard
POINT (76.46143193999998 28.330528394999995),Mustard
POINT (76.45481638699998 28.226578832499996),Mustard
POINT (76.46151423500001 28.3314098),Mustard
POINT (76.36357231499998 28.36245346000001),Mustard
POINT (76.43091014399998 28.225431829),Mustard
POINT (76.35203408000001 28.394765560000007),Mustard
POINT (76.35208464000002 28.395533965000006),Mustard
POINT (76.35274245999997 28.395549190000004),Mustard
POINT (76.35273049500003 28.394552834999995),Mustard
POINT (76.41769560400003 28.368570300000005),Mustard
POINT (76.34712600000003 28.401852565000006),Mustard
POINT (76.34400974 28.401905164999995),Mustard
POINT (76.34402807500001 28.402348964999998),Mustard
POINT (76.4019486535 28.387991541),Mustard
POINT (76.41168940999998 28.307372965000006),Mustard
POINT (76.34561719 28.402349525000005),Mustard
POINT (76.34560648999998 28.402803320000004),Mustard
POINT (76.34577464999998 28.40285229),Mustard
POINT (76.34658481499999 28.40284491),Mustard
POINT (76.39629735149997 28.383140935500002),Mustard
POINT (76.3826381495 28.379286048),Mustard
POINT (76.375850667 28.3884970065),Mustard
POINT (76.382119128 28.396664716500005),Mustard
POINT (76.50951979499999 28.31342899),Mustard
POINT (76.52192498000001 28.328138094999993),Mustard
POINT (76.29819807999999 28.416045105000002),Mustard
POINT (76.29820601 28.415262615000007),Mustard
POINT (76.38813796500001 28.417191741499995),Mustard
POINT (76.29683229000001 28.415261155000003),Mustard
POINT (76.29689081 28.415727135000004),Mustard
POINT (76.4001225595 28.417006093000005),Mustard
POINT (76.29622569999998 28.419382665),Mustard
POINT (76.296296305 28.419634824999996),Mustard
POINT (76.29626177999998 28.420132544999994),Mustard
POINT (76.29602832 28.42017119),Mustard
POINT (76.4112999865 28.42666435),Mustard
POINT (76.29606485999997 28.419691424999996),Mustard
POINT (76.42520203200002 28.431731795999998),Mustard
POINT (76.51568832000001 28.40460971),Mustard
POINT (76.42502848150001 28.435827259499995),Musterd
POINT (76.41555820699999 28.442849643),Musterd
POINT (76.59491519500001 28.673724104999998),Mustard
POINT (76.516309855 28.28974236),Mustard
POINT (76.51638085000002 28.289791849999993),Mustard
POINT (76.51640459999997 28.289974839999996),Mustard
POINT (76.51694695500001 28.289978375000004),Mustard
POINT (76.51665655499998 28.289495719999998),Mustard
POINT (76.35963190300001 28.399594627000006),Musterd
POINT (76.52175420500002 28.283151405),Mustard
POINT (76.52114228500001 28.283153460000012),Mustard
POINT (76.52113160500002 28.282615395),Mustard
POINT (76.52172715999997 28.28263230999999),Mustard
POINT (76.344185503 28.401892392999997),Musterd
POINT (76.3413553545 28.410777193499996),Musterd
POINT (76.53809100999999 28.266208490000007),Mustard
POINT (76.537322335 28.26620164),Mustard
POINT (76.33397321549998 28.397242997999996),Musterd
POINT (76.537340355 28.26648504),Mustard
POINT (76.53813515000002 28.266406870000004),Mustard
POINT (76.3323230655 28.3856282745),Musterd
POINT (76.54806808000002 28.256428939999985),Mustard
POINT (76.33091539750001 28.37691983),Musterd
POINT (76.54741318 28.256432654999998),Mustard
POINT (76.34188833649999 28.379268380000003),Musterd
POINT (76.54744663 28.25590800499999),Mustard
POINT (76.54808630499998 28.25591343499999),Mustard
POINT (76.515922081 28.359728952),Musterd
POINT (76.54394369049999 28.3748787315),Musterd
POINT (76.53632286950001 28.394888629),Musterd
POINT (76.53635954100004 28.392894667999997),Musterd
POINT (76.532134309 28.387859581500003),Musterd
POINT (76.351054744 28.372579885),Musterd
POINT (76.35107076399999 28.370156937),Musterd
POINT (76.47937158500001 28.186688585000002),Mustard
POINT (76.2961549595 28.411180521),Musterd
POINT (76.65103241 28.130726155),Mustard
POINT (76.2838083095 28.408199893500004),Musterd
POINT (76.290965631 28.419072928000002),Musterd
POINT (74.96928713999999 29.387896825000002),Mustard
POINT (76.460326955 28.20302772),Mustard
POINT (74.969272475 29.387916105),Mustard
POINT (76.460330485 28.203729004999992),Mustard
POINT (76.46002118999999 28.203707720000004),Mustard
POINT (76.45993520999997 28.203152565000003),Mustard
POINT (76.449139965 28.20848632),Mustard
POINT (76.44789748999999 28.208196179999998),Mustard
POINT (76.44800441500004 28.209262449999994),Mustard
POINT (76.45415808499997 28.160981749999998),Mustard
POINT (76.45392514000001 28.161100499999986),Mustard
POINT (76.45302605999998 28.160655480000003),Mustard
POINT (76.22076425499998 27.839308695),Mustard
POINT (76.45374309000002 28.160341105000008),Mustard
POINT (76.66161028999998 28.127536420000002),Mustard
POINT (76.45208447000002 28.170095025000013),Mustard
POINT (76.45079882499996 28.170120155000006),Mustard
POINT (76.45079303 28.170454350000007),Mustard
POINT (76.45179892500002 28.170497954999995),Mustard
POINT (76.65562700500001 28.122701345000003),Mustard
POINT (76.41789788999998 28.15892601),Mustard
POINT (76.41791392999998 28.15943226),Mustard
POINT (76.418247225 28.159448379999994),Mustard
POINT (76.418221 28.158885699999992),Mustard
POINT (76.36958968500002 28.203477484999997),Mustard
POINT (76.656193615 28.136112724999997),Mustard
POINT (76.37049121999999 28.203438735000002),Mustard
POINT (76.370471145 28.203273954999997),Mustard
POINT (76.36967929 28.203202395000005),Mustard
POINT (76.37409272999999 28.194767315),Mustard
POINT (76.37355978999999 28.194757329999995),Mustard
POINT (76.37370532000001 28.194154774999998),Mustard
POINT (76.37432931500001 28.194395475000004),Mustard
POINT (76.39127708 28.202768429999992),Mustard
POINT (76.39042459499998 28.202795935),Mustard
POINT (76.39039179499997 28.202272159999996),Mustard
POINT (76.39142138500002 28.202254829999998),Mustard
POINT (76.391427405 28.202601840000007),Mustard
POINT (76.56235935000002 28.003031635000003),Mustard
POINT (76.56342101000004 28.00302037000001),Mustard
POINT (76.56347226 28.003419510000004),Mustard
POINT (76.56247379999998 28.003269905000003),Mustard
POINT (76.554616875 27.996587499999993),Mustard
POINT (76.55578643499999 27.99658506999999),Mustard
POINT (76.555779575 27.99605927),Mustard
POINT (76.55464175499998 27.996058645000005),Mustard
POINT (76.54395554999999 28.082350275),Mustard
POINT (76.54393562499999 28.083257444999994),Mustard
POINT (76.54329019000002 28.08320964),Mustard
POINT (76.54326465 28.08260225),Mustard
POINT (76.50942116 28.077491805000005),Mustard
POINT (76.50942116499998 28.077159580000007),Mustard
POINT (76.50977360499999 28.077178234999998),Mustard
POINT (76.50966589999997 28.07751695999999),Mustard
POINT (76.508371175 28.07135899),Mustard
POINT (76.50776164499999 28.07133028500001),Mustard
POINT (76.50776049500001 28.070564939999997),Mustard
POINT (76.50797057500003 28.070498585000003),Mustard
POINT (76.49343766999998 28.049403225),Mustard
POINT (76.49296089 28.049388575000002),Mustard
POINT (76.49293879499999 28.049645109999993),Mustard
POINT (76.47948385 28.048064614999998),Mustard
POINT (76.47950773500001 28.048991945),Mustard
POINT (76.47919118999998 28.048996914999996),Mustard
POINT (76.47920588 28.048048079999994),Mustard
POINT (76.62912105500001 28.12795185),Mustard
POINT (76.58116518499997 28.220566099999992),Mustard
POINT (76.581525825 28.220599565000004),Mustard
POINT (76.581537365 28.221091254999997),Mustard
POINT (76.581437395 28.221581824999998),Mustard
POINT (76.58050616499999 28.221598570000005),Mustard
POINT (76.58111618000001 28.220649539999993),Mustard
POINT (76.64108196000004 28.129684079999997),Mustard
POINT (76.56615160500002 28.271281974999994),Mustard
POINT (76.56674096500001 28.271209220000003),Mustard
POINT (76.56673733 28.271841289999998),Mustard
POINT (76.56645219499998 28.27184641499999),Mustard
POINT (76.56288531499999 28.266931715),Mustard
POINT (76.563955145 28.26687323999999),Mustard
POINT (76.56399077500001 28.26638717000001),Mustard
POINT (76.56251793499999 28.266503455000002),Mustard
POINT (76.62373358500001 28.123436034999997),Mustard
POINT (76.42231886500001 28.37513375000001),Mustard
POINT (76.42298914 28.375124484999994),Mustard
POINT (76.42294487999999 28.375352690000007),Mustard
POINT (76.4221781 28.375369414999994),Mustard
POINT (76.41832489999999 28.380555679999997),Mustard
POINT (76.41825572500001 28.381521810000002),Mustard
POINT (76.41911173500002 28.3815363),Mustard
POINT (76.41910925 28.380660905000003),Mustard
POINT (76.38750914 28.38565037499999),Mustard
