geometry,typeofcrop
POINT (72.71902269 23.53855188),Wheat
POINT (70.46725587 21.080847759999997),Wheat
POINT (70.29010489499997 21.024892584999993),Wheat
POINT (72.72661049999999 23.533080399999996),Wheat
POINT (70.6908683 20.816618300000002),WHEAT
POINT (70.73324264000001 20.79632432),WHEAT
POINT (70.267238875 21.046270990000004),WHEAT
POINT (70.78336689 20.801401245000005),WHEAT
POINT (70.83161850000002 20.815660850000008),WHEAT
POINT (70.55733669499998 21.117949890000002),Wheat
POINT (72.78597188500001 23.56549595),Wheat
POINT (72.78751304 23.559130984999992),Wheat
POINT (72.79550209000001 23.526721329999994),Wheat
POINT (72.79678841500001 23.530028785000003),Wheat
POINT (72.79421497500003 23.519453974999998),Wheat
POINT (72.78745128 23.512006354999993),Wheat
POINT (72.78357109000001 23.532027215000014),Wheat
POINT (72.776159845 23.54180507),Wheat
POINT (70.22286571 21.034457330000002),WHEAT
POINT (72.75098181 23.544722884999995),Wheat
POINT (72.75104433 23.540450585),Wheat
POINT (70.451053485 21.312696166000002),Wheat
POINT (70.45059636849999 21.312373666000003),Wheat
POINT (70.59434968500001 21.057655030000006),Wheat
POINT (71.8344779 23.706223135),WHEAT
POINT (72.73052573 23.518947985),Wheat
POINT (72.68164760999997 23.536845090000007),Wheat
POINT (72.66538012999999 23.537147154999985),Wheat
POINT (71.94634124999999 23.687711619999998),WHEAT
POINT (72.60965567 23.536945099999993),Wheat
POINT (70.66244551499999 20.855575915),WHEAT
POINT (70.60081946000001 21.019878104999997),Wheat
POINT (72.55372576499998 23.554611614999995),Wheat
POINT (70.548098345 21.052058144999997),Wheat
POINT (70.19147319499999 21.40279374),Wheat
POINT (70.548763815 20.90326309),WHEAT
POINT (70.48437021499997 20.902092615000008),WHEAT
POINT (70.10197889999999 21.366038709999998),Wheat
POINT (70.08326880999999 21.299714245),Wheat
POINT (70.404983385 20.956555459999997),Wheat
POINT (70.42128642499999 21.021821244999998),Wheat
POINT (70.06015056999999 21.252339345),Wheat
POINT (70.93341704500003 20.895884650000003),Wheat (CCE)
POINT (70.39843874499999 21.00984402),Wheat
POINT (70.05510656 21.200742664999996),Wheat
POINT (70.93445837999998 20.929683830000002),Wheat
POINT (70.37875842 20.99771318000001),Wheat
POINT (70.32186951 20.985249399999997),Wheat
POINT (70.89899561499998 20.91832206),Wheat
POINT (70.07651154 21.15418638),Wheat
POINT (70.91545794000001 20.934284425),Wheat
